campaign_id,media_source,total_cost_usd,install_count,total_ad_revenue,total_iap_revenue,total_revenue,profit,roas
161694703,googleadwords_int,3126.8997111897806,89231,1847.0895763176995,2423.2590888151003,4270.3486651328,1143.4489539430197,1.3657
998337322,googleadwords_int,2212.6867148392066,46799,1547.2594314954,1600.3690855615002,3147.6285170569,934.94180221769329,1.4225
140410898,googleadwords_int,2958.8095718483955,5974,2236.7384241069,1353.5951840000005,3590.3336081069,631.52403625850457,1.2134
262368493,googleadwords_int,1279.2405186109131,14676,457.72975555140005,1388.9723029340998,1846.7020584855,567.46153987458683,1.4436
739276167,googleadwords_int,2726.081430682651,3889,2479.7994256456991,765.32090299999993,3245.1203286456989,519.03889796304793,1.1904
243641668,googleadwords_int,571.65650161514122,16329,556.01025646480025,448.39323034820006,1004.4034868130003,432.74698519785909,1.757
148918961,googleadwords_int,1063.4212922877362,14061,178.81568820390004,1272.4368545116,1451.2525427154999,387.83125042776373,1.3647
557162896,googleadwords_int,476.76490715919857,5171,197.0539896617,536.1782564249,733.23224608660007,256.4673389274015,1.5379
792104306,googleadwords_int,1499.2572798527267,30448,624.86906361860008,1116.6304449241,1741.4995085427,242.24222868997322,1.1616
510225620,googleadwords_int,367.34082660687147,43747,110.25977370530002,442.987833155,553.2476068603,185.90678025342856,1.5061
810543724,googleadwords_int,31.805343333299987,83,32.823994032099996,75.832786716700014,108.6567807488,76.851437415500016,3.4163
261307969,googleadwords_int,1257.6668384341074,2507,708.82076917950008,621.1209096873,1329.9416788668,72.2748404326926,1.0575
900383572,googleadwords_int,144.71013060289346,5773,207.76368479630005,7.6240227071,215.38770750340007,70.677576900506608,1.4884
432166127,googleadwords_int,153.20456134709994,1953,177.93602713250002,45.153742191999996,223.08976932450003,69.885207977400086,1.4562
974591165,googleadwords_int,28.447611096999886,1487,17.849336475199998,73.6308403755,91.480176850699991,63.032565753700105,3.2157
529859974,googleadwords_int,113.11502619340169,4551,104.69396957189997,60.9767126891,165.67068226099997,52.555656067598278,1.4646
232552584,googleadwords_int,599.50970929087066,837,367.67112498460006,277.54409235730003,645.21521734190014,45.705508051029483,1.0762
611748075,googleadwords_int,12.538889164000006,86,12.225917666500001,38.204261,50.430178666500005,37.8912895025,4.0219
199581943,googleadwords_int,20.94410339910014,1980,7.9265408356999973,42.623657045399995,50.55019788109999,29.60609448199985,2.4136
464541057,googleadwords_int,120.90691812200016,596,95.19278642419998,44.8950334844,140.08781990859998,19.180901786599819,1.1586
369804654,googleadwords_int,16.667882063100002,447,33.912237119999993,0.0,33.912237119999993,17.244355056899991,2.0346
742036733,googleadwords_int,56.58943306791187,154,71.5990794309,0.0,71.5990794309,15.009646362988136,1.2652
502057685,googleadwords_int,79.810015045000256,2397,55.31940686650001,38.204261,93.5236678665,13.71365282149975,1.1718
585166272,googleadwords_int,79.520489545140776,492,91.426718911100025,0.0,91.426718911100025,11.906229365959248,1.1497
611892113,googleadwords_int,58.408054047699324,2196,45.424360590700012,21.318996758,66.743357348700016,8.3353033010006925,1.1427
654635500,googleadwords_int,66.456833507399764,2593,31.956423545600007,38.204261,70.1606845456,3.7038510382002414,1.0557
972671114,googleadwords_int,6.9543887625000016,135,8.0092093023,0.0,8.0092093023,1.0548205397999988,1.1517
434877610,googleadwords_int,18.752500093099982,594,19.188516206800003,0.0,19.188516206800003,0.43601611370002047,1.0233
848321939,googleadwords_int,0.041886021200000012,3,0.055263055900000004,0.0,0.055263055900000004,0.013377034699999991,1.3194
989105150,googleadwords_int,0.2501338211,14,0.2440690488,0.0,0.2440690488,-0.0060647722999999931,0.9758
660741874,googleadwords_int,4.8277366179,103,4.6038274657,0.0,4.6038274657,-0.22390915220000007,0.9536
788967442,googleadwords_int,6.9089672148,69,6.195383348,0.0,6.195383348,-0.71358386679999963,0.8967
258346999,googleadwords_int,2.2251847050000007,19,1.3128571359,0.0,1.3128571359,-0.91232756910000057,0.59
369626124,googleadwords_int,12.131839807500002,230,10.930226333099997,0.0,10.930226333099997,-1.2016134744000055,0.901
161332031,googleadwords_int,69.452779263394532,7906,22.188492107400005,45.670410554,67.858902661400009,-1.5938766019945234,0.9771
590094865,googleadwords_int,6.4325841087000013,382,4.6606141059999988,0.0,4.6606141059999988,-1.7719700027000025,0.7245
624225880,googleadwords_int,7.7417468523999986,17,3.1792174522999996,0.0,3.1792174522999996,-4.562529400099999,0.4107
180761354,googleadwords_int,17.545431474700017,906,11.6233769794,0.0,11.6233769794,-5.9220544953000172,0.6625
351751429,googleadwords_int,818.93556641591329,1606,592.3260677224,219.99396302250003,812.3200307449,-6.6155356710132764,0.9919
834117318,googleadwords_int,14.015329098900002,591,6.409258419,0.0,6.409258419,-7.606070679900002,0.4573
280939212,googleadwords_int,27.348648219500031,175,14.9947979159,0.0,14.9947979159,-12.353850303600032,0.5483
542533692,googleadwords_int,64.680064225794879,7620,21.94893776020001,22.9280700392,44.877007799400012,-19.803056426394868,0.6938
571438578,googleadwords_int,34.234941683798539,4122,10.9320314494,0.0,10.9320314494,-23.302910234398539,0.3193
525989111,googleadwords_int,51.7542485062986,1981,24.606586157200002,0.0,24.606586157200002,-27.1476623490986,0.4755
514288304,googleadwords_int,92.659501635999845,2682,50.6717992795,0.0,50.6717992795,-41.987702356499845,0.5469
265069104,googleadwords_int,196.0346452542245,1339,36.024272873099989,42.1288870244,78.153159897499989,-117.88148535672451,0.3987
